AFTER refactor coverage — pytest 575 passed, 1 skipped, 53.95s
(561 baseline + 14 new guard tests in tests/test_proxy_wiring_guard.py)
================================================================================
Name                                Stmts  Miss  Cover   Missing
vision_relay/wiring.py                 32     0 100.0%   -
vision_relay/harness_spec.py           42     1  97.6%   80
vision_relay/modalities.py             25     2  92.0%   29,32
vision_relay/harness_io.py            150    28  81.3%   26-32,47,61,103-109,116-117,126-127,150,154,169-170,172,183,189-190
vision_relay/qwen_providers.py        210    26  87.6%   39-40,45,57-58,96,109-110,124,135-136,173-176,193,221-222,248,252,270-271,282-283,286,292
vision_relay/zcode_providers.py       259    20  92.3%   38-39,66,89-90,104,107,126,138-139,142,147,241-242,264-265,294,298,316-317
vision_relay/relays.py                 62     6  90.3%   25-27,69,82-83
vision_relay/wiring_orchestrate.py    224    44  80.4%   52-53,132,139-141,148-149,200-209,212-213,215-217,227-228,248-249,254-258,260-265,291-292,297,304-305,311
TOTAL (vision_relay pkg)             4653   675  85.5%
